Month,MonthIndex,ChargerType,Power_kW,CapEx,InstallCost,LandLeaseCost,MonthlyRevenue,MonthlyOPEX,MonthlyProfit,ElectricityCost,CumulativeRevenue,CumulativeOPEX,CumulativeProfit
2025-01-01,1,AC Slow,3.3,65000,15000,15000,7000,38466.66666666667,-96466.66666666667,4800,7000,38466.66666666667,-96466.66666666667
2025-02-01,2,AC Slow,3.3,0,15000,15000,7350,38706.66666666667,-31356.66666666667,5040,14350,77173.33333333334,-127823.33333333334
2025-03-01,3,AC Slow,3.3,0,15000,15000,7700,38946.66666666667,-31246.66666666667,5280,22050,116120.00000000001,-159070.0
2025-04-01,4,AC Slow,3.3,0,15000,15000,8050,39186.66666666667,-31136.66666666667,5520,30100,155306.6666666667,-190206.6666666667
2025-05-01,5,AC Slow,3.3,0,15000,15000,8470,39474.66666666667,-31004.66666666667,5808,38570,194781.33333333337,-221211.33333333337
2025-06-01,6,AC Slow,3.3,0,15000,15000,8890,39762.66666666667,-30872.66666666667,6096,47460,234544.00000000003,-252084.00000000003
2025-07-01,7,AC Slow,3.3,0,15000,15000,9380,40098.66666666667,-30718.66666666667,6432,56840,274642.6666666667,-282802.6666666667
2025-08-01,8,AC Slow,3.3,0,15000,15000,9800,40386.66666666667,-30586.66666666667,6720,66640,315029.3333333334,-313389.3333333334
2025-09-01,9,AC Slow,3.3,0,15000,15000,10290,40722.66666666667,-30432.66666666667,7056,76930,355752.00000000006,-343822.00000000006
2025-10-01,10,AC Slow,3.3,0,15000,15000,10850,41106.66666666667,-30256.66666666667,7440,87780,396858.66666666674,-374078.66666666674
2025-11-01,11,AC Slow,3.3,0,15000,15000,11340,41442.66666666667,-30102.66666666667,7776,99120,438301.3333333334,-404181.3333333334
2025-12-01,12,AC Slow,3.3,0,15000,15000,11970,41874.66666666667,-29904.66666666667,8208,111090,480176.00000000006,-434086.00000000006
2026-01-01,13,AC Slow,3.3,0,15000,15000,12530,42258.66666666667,-29728.66666666667,8592,123620,522434.66666666674,-463814.66666666674
2026-02-01,14,AC Slow,3.3,0,15000,15000,13160,42690.66666666667,-29530.66666666667,9024,136780,565125.3333333334,-493345.3333333334
2026-03-01,15,AC Slow,3.3,0,15000,15000,13790,43122.66666666667,-29332.66666666667,9456,150570,608248.0000000001,-522678.00000000006
2026-04-01,16,AC Slow,3.3,0,15000,15000,14490,43602.66666666667,-29112.66666666667,9936,165060,651850.6666666667,-551790.6666666667
2026-05-01,17,AC Slow,3.3,0,15000,15000,15260,44130.666666666664,-28870.666666666664,10464,180320,695981.3333333334,-580661.3333333334
2026-06-01,18,AC Slow,3.3,0,15000,15000,16030,44658.666666666664,-28628.666666666664,10992,196350,740640.0000000001,-609290.0000000001
2026-07-01,19,AC Slow,3.3,0,15000,15000,16800,45186.666666666664,-28386.666666666664,11520,213150,785826.6666666667,-637676.6666666667
2026-08-01,20,AC Slow,3.3,0,15000,15000,17640,45762.666666666664,-28122.666666666664,12096,230790,831589.3333333334,-665799.3333333334
2026-09-01,21,AC Slow,3.3,0,15000,15000,18550,46386.666666666664,-27836.666666666664,12720,249340,877976.0000000001,-693636.0000000001
2026-10-01,22,AC Slow,3.3,0,15000,15000,19460,47010.666666666664,-27550.666666666664,13344,268800,924986.6666666667,-721186.6666666667
2026-11-01,23,AC Slow,3.3,0,15000,15000,20440,47682.666666666664,-27242.666666666664,14016,289240,972669.3333333334,-748429.3333333334
2026-12-01,24,AC Slow,3.3,0,15000,15000,21490,48402.666666666664,-26912.666666666664,14736,310730,1021072.0,-775342.0
2025-01-01,1,DC Fast,60.0,700000,200000,40000,108000,128066.66666666667,-720066.6666666666,50400,108000,128066.66666666667,-720066.6666666666
2025-02-01,2,DC Fast,60.0,0,200000,40000,113400,130586.66666666667,-17186.66666666667,52920,221400,258653.33333333334,-737253.3333333333
2025-03-01,3,DC Fast,60.0,0,200000,40000,118800,133106.6666666667,-14306.666666666686,55440,340200,391760.0,-751560.0
2025-04-01,4,DC Fast,60.0,0,200000,40000,124800,135906.6666666667,-11106.666666666686,58240,465000,527666.6666666667,-762666.6666666666
2025-05-01,5,DC Fast,60.0,0,200000,40000,130800,138706.6666666667,-7906.666666666686,61040,595800,666373.3333333334,-770573.3333333334
2025-06-01,6,DC Fast,60.0,0,200000,40000,137400,141786.6666666667,-4386.666666666686,64120,733200,808160.0000000001,-774960.0
2025-07-01,7,DC Fast,60.0,0,200000,40000,144600,145146.66666666666,-546.666666666657,67480,877800,953306.6666666667,-775506.6666666667
2025-08-01,8,DC Fast,60.0,0,200000,40000,151800,148506.66666666666,3293.333333333343,70840,1029600,1101813.3333333335,-772213.3333333334
2025-09-01,9,DC Fast,60.0,0,200000,40000,159000,151866.66666666666,7133.333333333343,74200,1188600,1253680.0,-765080.0
2025-10-01,10,DC Fast,60.0,0,200000,40000,167400,155786.66666666666,11613.333333333343,78120,1356000,1409466.6666666667,-753466.6666666666
2025-11-01,11,DC Fast,60.0,0,200000,40000,175800,159706.66666666666,16093.333333333343,82040,1531800,1569173.3333333335,-737373.3333333334
2025-12-01,12,DC Fast,60.0,0,200000,40000,184200,163626.66666666666,20573.333333333343,85960,1716000,1732800.0,-716800.0
2026-01-01,13,DC Fast,60.0,0,200000,40000,193800,168106.66666666666,25693.333333333343,90440,1909800,1900906.6666666667,-691106.6666666666
2026-02-01,14,DC Fast,60.0,0,200000,40000,203400,172586.66666666666,30813.333333333343,94920,2113200,2073493.3333333333,-660293.3333333333
2026-03-01,15,DC Fast,60.0,0,200000,40000,213600,177346.66666666666,36253.33333333334,99680,2326800,2250840.0,-624040.0
2026-04-01,16,DC Fast,60.0,0,200000,40000,224400,182386.66666666666,42013.33333333334,104720,2551200,2433226.6666666665,-582026.6666666666
2026-05-01,17,DC Fast,60.0,0,200000,40000,235200,187426.66666666666,47773.33333333334,109760,2786400,2620653.3333333335,-534253.3333333333
2026-06-01,18,DC Fast,60.0,0,200000,40000,247200,193026.66666666666,54173.33333333334,115360,3033600,2813680.0,-480079.99999999994
2026-07-01,19,DC Fast,60.0,0,200000,40000,259800,198906.66666666666,60893.33333333334,121240,3293400,3012586.6666666665,-419186.66666666657
2026-08-01,20,DC Fast,60.0,0,200000,40000,272400,204786.66666666666,67613.33333333334,127120,3565800,3217373.3333333335,-351573.33333333326
2026-09-01,21,DC Fast,60.0,0,200000,40000,286200,211226.66666666666,74973.33333333334,133560,3852000,3428600.0,-276599.9999999999
2026-10-01,22,DC Fast,60.0,0,200000,40000,300600,217946.66666666666,82653.33333333334,140280,4152600,3646546.6666666665,-193946.66666666657
2026-11-01,23,DC Fast,60.0,0,200000,40000,315600,224946.66666666666,90653.33333333334,147280,4468200,3871493.333333333,-103293.33333333321
2026-12-01,24,DC Fast,60.0,0,200000,40000,331200,232226.66666666666,98973.33333333334,154560,4799400,4103720.0,-4319.999999999869
2025-01-01,1,Ultra-Fast DC,150.0,3100000,600000,100000,200000,240000.0,-3140000.0,80000,200000,240000.0,-3140000.0
2025-02-01,2,Ultra-Fast DC,150.0,0,600000,100000,209600,243840.0,-34240.0,83840,409600,483840.0,-3174240.0
2025-03-01,3,Ultra-Fast DC,150.0,0,600000,100000,220000,248000.0,-28000.0,88000,629600,731840.0,-3202240.0
2025-04-01,4,Ultra-Fast DC,150.0,0,600000,100000,231200,252480.0,-21280.0,92480,860800,984320.0,-3223520.0
2025-05-01,5,Ultra-Fast DC,150.0,0,600000,100000,242400,256960.0,-14560.0,96960,1103200,1241280.0,-3238080.0
2025-06-01,6,Ultra-Fast DC,150.0,0,600000,100000,255200,262080.0,-6880.0,102080,1358400,1503360.0,-3244960.0
2025-07-01,7,Ultra-Fast DC,150.0,0,600000,100000,268000,267200.0,800.0,107200,1626400,1770560.0,-3244160.0
2025-08-01,8,Ultra-Fast DC,150.0,0,600000,100000,280800,272320.0,8480.0,112320,1907200,2042880.0,-3235680.0
2025-09-01,9,Ultra-Fast DC,150.0,0,600000,100000,295200,278080.0,17120.0,118080,2202400,2320960.0,-3218560.0
2025-10-01,10,Ultra-Fast DC,150.0,0,600000,100000,309600,283840.0,25760.0,123840,2512000,2604800.0,-3192800.0
2025-11-01,11,Ultra-Fast DC,150.0,0,600000,100000,325600,290240.0,35360.0,130240,2837600,2895040.0,-3157440.0
2025-12-01,12,Ultra-Fast DC,150.0,0,600000,100000,341600,296640.0,44960.0,136640,3179200,3191680.0,-3112480.0
2026-01-01,13,Ultra-Fast DC,150.0,0,600000,100000,358400,303360.0,55040.0,143360,3537600,3495040.0,-3057440.0
2026-02-01,14,Ultra-Fast DC,150.0,0,600000,100000,376800,310720.0,66080.0,150720,3914400,3805760.0,-2991360.0
2026-03-01,15,Ultra-Fast DC,150.0,0,600000,100000,395200,318080.0,77120.0,158080,4309600,4123840.0,-2914240.0
2026-04-01,16,Ultra-Fast DC,150.0,0,600000,100000,415200,326080.0,89120.0,166080,4724800,4449920.0,-2825120.0
2026-05-01,17,Ultra-Fast DC,150.0,0,600000,100000,436000,334400.0,101600.0,174400,5160800,4784320.0,-2723520.0
2026-06-01,18,Ultra-Fast DC,150.0,0,600000,100000,458400,343360.0,115040.0,183360,5619200,5127680.0,-2608480.0
2026-07-01,19,Ultra-Fast DC,150.0,0,600000,100000,480800,352320.0,128480.0,192320,6100000,5480000.0,-2480000.0
2026-08-01,20,Ultra-Fast DC,150.0,0,600000,100000,504800,361920.0,142880.0,201920,6604800,5841920.0,-2337120.0
2026-09-01,21,Ultra-Fast DC,150.0,0,600000,100000,530400,372160.0,158240.0,212160,7135200,6214080.0,-2178880.0
2026-10-01,22,Ultra-Fast DC,150.0,0,600000,100000,556800,382720.0,174080.0,222720,7692000,6596800.0,-2004800.0
2026-11-01,23,Ultra-Fast DC,150.0,0,600000,100000,584800,393920.0,190880.0,233920,8276800,6990720.0,-1813920.0
2026-12-01,24,Ultra-Fast DC,150.0,0,600000,100000,613600,405440.0,208160.0,245440,8890400,7396160.0,-1605760.0
