month_year,ev_sales_quantity
2014-01,232
2014-02,171
2014-03,220
2014-04,252
2014-05,186
2014-06,149
2014-07,199
2014-08,180
2014-09,168
2014-10,188
2014-11,210
2014-12,237
2015-01,174
2015-02,182
2015-03,222
2015-04,175
2015-05,195
2015-06,287
2015-07,383
2015-08,711
2015-09,968
2015-10,1073
2015-11,1251
2015-12,2184
2016-01,1946
2016-02,2499
2016-03,4520
2016-04,3443
2016-05,4004
2016-06,5119
2016-07,4380
2016-08,4022
2016-09,4174
2016-10,6336
2016-11,4904
2016-12,4508
2017-01,4582
2017-02,4411
2017-03,5992
2017-04,5054
2017-05,7059
2017-06,7509
2017-07,9047
2017-08,9169
2017-09,7735
2017-10,7660
2017-11,10087
2017-12,9115
2018-01,9003
2018-02,7372
2018-03,7696
2018-04,7335
2018-05,8261
2018-06,8833
2018-07,11397
2018-08,11792
2018-09,13588
2018-10,14986
2018-11,14112
2018-12,15879
2019-01,13379
2019-02,12228
2019-03,15154
2019-04,11185
2019-05,10082
2019-06,11159
2019-07,12479
2019-08,13252
2019-09,16145
2019-10,15720
2019-11,19006
2019-12,17030
2020-01,16865
2020-02,16569
2020-03,14066
2020-04,975
2020-05,1311
2020-06,6486
2020-07,7799
2020-08,8558
2020-09,11355
2020-10,11450
2020-11,13390
2020-12,15860
2021-01,17025
2021-02,20073
2021-03,28115
2021-04,15020
2021-05,3602
2021-06,12317
2021-07,28146
2021-08,30818
2021-09,36604
2021-10,40952
2021-11,45077
2021-12,53749
2022-01,51476
2022-02,58056
2022-03,83080
2022-04,77522
2022-05,69916
2022-06,75852
2022-07,80887
2022-08,89012
2022-09,94903
2022-10,117486
2022-11,121570
2022-12,104963
2023-01,102839
2023-02,107178
2023-03,140823
2023-04,111233
2023-05,158131
2023-06,102043
2023-07,115756
2023-08,126508
2023-09,127793
2023-10,139232
2023-11,152610
2023-12,141033
2024-01,143182
